comment,label
india mein jisam faroshi ka dhanda kernay wali aaj hamein lecture de rahi hai,A
Jahil e Azam k kaarkun badtameez hein,A
ager shareef khandan ne 10 arab dollar de ker nawaz sharif ko churwa liya to ye dunya ki tareekh mein paison ke badley khareeda gaya mehenga tareen khota hoga,A
me with english subtitles,NA
Chairman shareef logon k sath badmaashi dikhata hai,A
anyone january k,NA
anyone from bangladesh,NA
kon kon dekh raha he,NA
me watching after th feb,NA
uffff bilkul boat over ho jati ha mardana wajahat mehsus ho ha kbi kbi,NA
drama drama style man hi banaya drink and dressing khyal rakhan thanks,NA
ese bache pakistani army ky officers he ho skte,NA
i love you muhammad,NA
mujhe first episode acchi nhi lagi,NA
Tumhara chehra gadhey se milta hai,A
any one from bangladesh,NA
RSS ka nazarya musalmanon se nafrat per mabni hai,A
kyaa jabarjast sin cybar truck bilaal bhai bahut jajta hey,NA
kutta jb meri baat hi nai manni to mery sath reh bhi na dafa ho yahan se,A
beghairat to bohut dekhay hein lekin altaf hussain ka eik apna hi muqam hai,A
shadeed negative insaan ho tum,A
actual galti to inhi long haii tiktok ma ulta potray horahai haha,NA
india cdiii from bangladesh,NA
aaj bharat kehta phir raha hai ke kashmir mein halaat mamool ki taraf lot rahey hein agar ye baat darust hai to insani haqooq ke mubassireen ko wahan janey se kyun rok raha hai,A
one more boring drama after manto nahi,NA
usko bukhar nahi hai uski gaand mein koi cheez phans gai hai,A
agr Molana senate mein government ka sath dein to youthiye kal se unhen daada abbu kehna start ho jayen gy,A
when epi will come out,NA
aisy log hoty hn jo apni phunno kaat k khaa lety hn,A
mulk ka beragark kardiya yahodi ka bacha na,A
who watching after episodes,NA
hakumat horse trading se baaz rahy,A
bharat kashmir mein mayraye adalat qatal ker raha hai,A
gaon mein ghareeb kisan k bachay ko zinda dafan ker dea gea,A
muskaan form meri bahuain,NA
yes so shameful and sad,NA
sahi li randi k bachy ki,A
ishq murshad copy,NA
english subtiles please,NA
i love you muhammad saw kon kon hazrat muhammad saw see pyar kartay iss ammet koo like karo hazrat muhammad saw kaa fun koon koon batawo,NA
bharwa apni kahi baat ki nafi kr gya,A
muslim legue noon ki tarjumaan maryam aurangzeb ka kehna hai ke hamari badqismati hai ke hamara mukhalif kam zarf hai,A
love from bangladesh my favourite actress,NA
kon kon thappad wali real dekh aaya hazir ho jaye,NA
turkey lunday club turkey turkey he beta copy copy turkey har chez copy kr rhy hen hospital skin care starting bhi to etc,A
mera laura choos le yahoodi,A
tu mery lun pe beth gandu,A
80 se 90 feesad masail imran khan ki apni team ne paida kiye hein,A
bnda har dramy k comment section m hota,NA
a new pakistani boomlove from bangladesh if you like it please let me know,NA
kiya haseen ittefaq hai ke jis raftaar se Noon Legue ke asasey barh rahy thay usi raftaar se pakistan ke qarzey bhi,A
kon kon mere tara start kar rha,NA
is makhsoos tatty k roast ka mjy bht intezar tha,A
oh you caught me,NA
whos watching jan happy new year guys,NA
pta nahi selected yahoodi pakistan ki jaan kb chory ga,A
tumhara rishtah khatam hua hai zindagi nahi Rona dhona band kro kutta,A
me from bangladesh,NA
kamyar kaisa naam h unique naam rakhny k chakar m kch b rakh daity,NA
imran khan ke tehalkah khez beyaan ne bharat mein saf e matam bicha di,A
kitni buri car limited na ho asi limited edition,NA
whos watching in,NA
drama like thriller whos agree with me,NA
jis mulk mein 30% se zayadah musalmaan hongay wo masail paida karen gey,A
cheen ne amreeki sahafiyon ko mulk badar ker diya,A
sb corrupt judges to farigh kr diya jaye,A
whos watching happy new year jan,NA
me kehti hoo me first comment doo pehle hi k comments meri kismat,NA
tum ma or sulamani topa ma koe farq nhi,A
pathetic and overrated drama,A
in langaron ko kahin bhi nokri nahi milni chahiye,A
me too from nepal,NA
ye afsurdah ker denay wali tatti kisi aur ko ja ke suna,A
ksa h ya drma kis kis ne dkha ha,NA
starting he cyber truck,NA
please add english subtitles,NA
cyber truck kidar sai aya pakistan mai,NA
tum sirf bharwe ho,A
drama dak lagta pakistan mai sab paisa vala koy garib nahi haqikat mai,NA
tu fake khusri hai,A
song to asim azher ny hi gaya ha,NA
trial court judgon ki tabdeeli ka mashkook tareeqahkaar azad adliya per badtareen hamlah hai,A
Allah kary tumhari nasal tabah o barbaad ho jaye,A
bacho is dunya mein bohut se chootiye hein aur sab se ooper aatey hein alex bhatti,A
nehattey kashmiri azadaaron per muzalim aur giraftariyon ki shadeed muzammat kertay hein,A
qoum ko pegham mil gaya ke jab muqadmah jaali ho koi corruption saabit nah ho aur mulzim ka taaluq opposition bilkhasoos noon legue se ho aur qanoonan saza nah ho sakti ho tou judge badal do,A
pile apsod aise diresing toba,NA
lights bht issue he us drame aankon dard ho gaya,NA
sialkoti aur sanp eik sath nazar ayen to pehlay sialkoti ko maar dena chahiye,A
usne aurton ke bachey zaya kernay ke liye khufya operation theater khol rakha hai,A
i started today in japan,NA
ye gari shahzad bhai ha koi promotion nhi ha pore karachi ma srf un k pas hi ha shehzad bhai mere husband k janne phechan k ha,NA
wo hamesha dosron ko bura bhala kehta hai,A
crazy they used cybertruck,NA
please note same locations furniture bedrooms house ab her dramay repeat ho rahee,NA
kon kon dekh rha he,NA
mame dadi ak thapar ma bahosh ho gaya,NA
India ko kabi in masoom logon k marny ka andaza nahi hoga,A
ye drama serif feroze pe suite karta,NA
wo hi ladki wo hi dad esa lag raha mere humsafar drame dubara agaye,NA
khuch sharm kru zamana padel gya mager din ni badla wu dadu sai tu kheri hy,NA
december second time,NA
bhai number chalu he,NA
jesy indian nachnay ganay mn achy hein wesy hi pakistani pharnay mn achay hn,A
jb bhi koi apko judge kerney ki koshish kary to aap uski kutton wali karo,A
Modi ne intehai pagalpan wala qadam uthaya hai,A
koi bhi rich character jach nahi raha,NA
can anyone tell me ye konsi car name,NA
acting beauty dekho bike nhitum logo k bs sb kuch hy acting skills nhi,A
kabhi mai kabhi yah drama missing,NA
ummat e muslimah ki wahdat ka tasawwur khatam kernay ki baten kernay waley islam aur musalmaanon ke dushman hein,A
sharab noshi harab to dekha q rahe ho namahram haram nh jahil paisa mile zindagi akhrat bhad me jaye,NA
musalmanon k mazhabi thikaney bhi ab bharat mein mehfooz nahi,A
canada mn bachion k b lory nikal aaty hein,A
kon kon syber truck kiliye aye,NA
lets use our voice and banned these dramas,NA
pls add english subtitles,NA
bangladesh ar kew acho ni tahole like dio,NA
gori kanjreyan bund hila hila ke mood bana deti hein,A
bb k bad yhn aye,NA
apne to aaj unke moun pe gober ke bharey jootey marey hein woh  bhi 48 number waley chitter se,A
mehngai ne ghareeb aadmi ki gaand mai danda dia hua hai,A
bangladesh bangla dubbed plz,NA
noon legue awam ko nawaz sharif ki sehat per gumrah na karey,A
again love story they should think outside of box,NA
whos watching december,NA
Bhai pagal ho ya chutiya ho ap,A
ye log intna ghatiya british accent kha laate h,A
ku pakistani yo drama dekhna sehat k liy thk o nahi,NA
thats js how ppl talk nowadays,NA
india ki forces pakistan mein musalsal madakhlat ker rahey hein jo ke ab bilkul  bhi bardasht nahi ki jaye gi,A
30 lakh afghaniyon ne pakistan ki economy tabah kr di hai unhen foran nikal kr bahir phenk dena chahiye,A
mujhe middle finger dikhkaney ki bjaye tu usey apne pichwarey mein le ley,A
zeyadti k mulzimon ki lulli kaat deni chahey,A
kyun tu bund deni ae?,A
meri behen bohut zayadah sarrial hai,A
girl be like bhai to handsome ha but itna bhi nhi,NA
Mou ka mazaq nh urhaya kar bhosriwaly,A
gujrat ke qasai apki duaon ka samar hai kashmir ka soda ho chuka hai,A
shamoon abbas and javeria abbas ex husband wife,NA
watching november its my birthday wish me,NA
bharti qabiz fouj kashmiriyon ko ijtemai saza de rahi hai,A
bharti fouj ne masoom shehri abaadi ko jaan boojh ker nishana banaya,A
shuroaat men hi behoodah bemaqsad drama lag raha million views pta nai kis bat pe hen,NA
i dont like revealing dress,NA
khuda ne isey moun kyun diya hai aur de diya hai to ye kholti kyun hai,A
tu hai hi kisi randi ka bacha,A
bangladesh wala kon ho,NA
ye buddhey javed shaikh awaaz kyun nhi nikalri,A
mujhe kaaley logon se nafrat hai,A
Hindu inteha pasand log hoty hein,A
focus on cyber truck,NA
shes so hot omfg prettyyy asss,NA
yeah tesla cyber truck muje hollywood movies ma hi zyda acha lgta ha dramy ma kuch ajeeb hi lg rha ha,NA
ye hakumat ghareb dushman hai,A
agar tum is waqt meray paas hotay to main tumhara moun tor chuka hota,A
ass like amrittu valobashi toke,NA
in kutty k bachon ko paisy le kr faisly sunany per phansi milni chahiye,A
amreeka ne muslim mumalik se aaney walon per pabandi laga di hai,A
subah se government policies ke khilaf Punjab Assembly k bahir nabeena afraad ka ehtejaj jaari hai,A
needs english translation,NA
kamiyaar very funny name na kamiyaab na kamraan middle of kamiyaar,NA
hayee ost song,NA
sahi kaha ap n,NA
whats name of ost omy godd,NA
love from bangladesh,NA
acha bra contact h mery papa sy itni news apny papa rhk lety,NA
english subtitles pleaseee,NA
ak minutes to darama start honay may lagta ha bus kisi tarha episode pora karay,NA
jalsoun mein to kehtey thy ke hum is mulk ko madeena ki reyasat banayen gey kitna hi acha hota ke taqreeron mein kahey alfaaz amli shakal ikhteyaar ker letay,A
pakistani drama ma haram cheza kha sa add lanat ha jis na drma bnya ha sham on you ary digital,NA
din ba din pakistani dramas ma dressing galeez hoti ja rhi hastory ma inki jaan nhi hoti bs ya kapro chota karta ja rha ha,NA
aurat waqae mein mard ko lakhpati bana sakti hai agr wo pehly crorepati ho to,A
apni kuttey jesi shakal le ker yahan se dafa ho jao aur wapis mat aana,A
lanti ke bachey ne meri gari thok di hai,A
ab darmo ma libas girls k zayda hi over hoty ja rahy han,NA
kamyars family playing elite class role giving me novels vibes,NA
anyone in bangladesh,NA
kon kon tiktok dakh aya meri trash hazri lgao,NA
bartanvi akhbar ne waadi ki soortehaal ko shehriyon ke liye intehai khofnaak qarar de diya,A
we can say its a recreate verison of ishqiya,NA
my form potiya chittagong bangladesh,NA
punjab mein police ke qanoon shikni ke waqeat isliye ho rahey hein kyunkeh police wazeer e azam ke kirdaar ki perwi ker rahi hai,A
same for your parents,NA
shame on you,NA
humesha larkiyon hi kyoon target karte bhai log wahan larke bhi wahan dhyan nahi jata tumhata,NA
so nice song,NA
ayra meri beti name hy just months old,NA
ustad ke intehai tashaddud se bacha zakhmon ki taab na latey huay wafaat paa gaya,A
fazal ur rehman modi ke agenday ko farogh de rahey hein unhen qanooni notice bhejen gey,A
Lanat hai aap pe bari wali,A
israeli hain hi kutti k bachay,A
zaleel insan chup ker ja,A
hakumat ne kashmir per ghaddari ki hai,A
one of best drama,NA
local governments bhi kisi kaam ki nahi logon ke masail joon ke toon parey hein,A
pakistan hi afghanistan main logon ke qatle aam mai mulawwis hai,A
started a drama after zara patton bun hope it will be good else ive to switch back my k drama,NA
bharat moqbooza kashmir mein nasal kushi se tawajjuh hatana chahta hai isiliay aisi jhooti khabren phela raha hai,A
tu larki nahi gashti hai aur rahey gi,A
loo tesla maaaa ankh,NA
mujhe na sirf qaid ker diya gaya hai balkeh jaan se maar deney ki dhamkiyan bhi mil rahi hein,A
jannat mirza aur churail mai kia farq hai?,A
what an episode,NA
behen tum to bohut bura hansti ho,A
tumhare gand me danda dal k muh se nikal denge mc deshdrohi kahi ka bhag suar pakistani,A
bekar drama sara ameeri culture dikha kr awam lalchi gumrah kr raha director and producer,A
alex bhatti ki gandi olad hai tu,A
Abe sale tu b fame k chakar main ducki bhai ko roast karta hai,A
should i watch guys please suggest me,NA
people they have gained weight if i may sayespecially taji babi,NA
khuda maut de tjhe bharwe lash bhi na milay teri chotiay,A
so good very nice darm,NA
zabardast ms beenish excellent,NA
Modi hitler ke rastay per chal nikla hai,A
watan dushmanon ke liye pakistan ki zameen tung ker dein gey,A
youngs guys drugs use krty dekha kr bht ghlti kr rhy hn,NA
charsi khan se to achi hi he,A
bas ye kame behayai mn hana,NA
80 lakh kashmiri curfew mein jee rahey hein sari dunya ko ye soortehaal dekhni chahiye,A
bharat ko chahiye ke kisi bollywood film per 100 crore lagaye aur chaand per pohunch jaye,A
har bat pe lun pe charhna zaruri hota hai kiya?,A
aisy hi bund martay raho inki,A
great acting by both actors and finally something different,NA
esa asa nahe kar na chaya thay,NA
is hakumat ko pase pardah koi aur chala raha hai,A
jo kuch bhi kashmir mein huwa aur mazeed ho raha hai us per eik indian honay per mujhe sharam mehsoos ho rahi hai,A
drama bahut achcha laga mujhe,NA
dosron ko baten ker rahi ho tum khud kitney pani mein ho?,A
apne baap ko hijra nahi bolte,A
yar in parties ni dkehni chaye ghitiya lag rha ha sb,NA
something like khaani,NA
english subtitles plzzz,NA
itni masoom shakl waly itna nagitive creator diya,NA
english drama ya urdu bhen laura sub kuch english,NA
wo ap k mind p depend karta h,NA
first comment bangladesh,NA
agar tum ne Imam Ali ke khilaf kuch kaha to masla ho jaye ga,A
plastic shopper per pabandi aur paper bag na honay ki wajah se sabzi hath mein pakar kr le jani per rahi hai kia kamal ka step uthaya hai intezamiya ne,A
hakumat ne tax choron ko inaam mein 300 arab rupey maaf ker diye jb ghar ka sarbarah choron se mil jaye to ghar tabah ho jata hai,A
kia dramo me aisi dressing club wagera dikhana chahiye bohat fuzool dressing hy darame me,NA
jaweria shamoonanoushey behn bhai mian biwi khichdibek dramay me,NA
iss larki wakhy hee kise achy mahh bapp nai tarbeyat,NA
yeh hakumaat intehai khatarnak aur naqabil e qabool hai,A
billal abbas kom kom like kortiholike my comment,NA
puraney pakistan mein piyaz kat'tey waqt aansoo aatey thy naye pakistan mein piyaz khareedaty waqt aaty hein,A
i need dolars,NA
first episode khtum ho gya lakin sary comments fr ni prhy gy,NA
love from bangladesh,NA
lo g aunty ka randi rona suru ho gya hai,A
choot ki tharak aur tharak insan ko kahi ka nahi chorti,A
im from bangladesh love you pakistan,NA
mai manto nahi hoon missing so much,NA
next episode upload it please,NA
bharti kuttey kal raat se musalsal firing ker rahey hein,A
jo tum ne aur tumhari corrupt mafia ne paisa loota hai wo wapis kr do aur tumhary abbu azad ho jayen gy,A
bhai gari ura hi dete ag,NA
Modi eik dehshat gard siyasatdaan hai,A
imran khan ka kehna hai ke maazi ki badintezami ne karachi ka rewayati husan tabah kiya,A
modi dunya ki sab se zayada ghair ikhlaqi jamhooriyat ka ghair ikhlaqi tareen wazeer e azam hai,A
dosron se larrai kerna to tumharey khoon mein shamil hai,A
Imran ne pura saal awam per azab dhaaney per laga diya hai,A
another blockbuster loading kya bolte ho ap sab,NA
ye gutter zehen ki aurat national media per bethi bhashan jhaar rahi hoti hn ,A
youtube k drama ptv k drama bantey ja rahe,NA
i like ost most,NA
qandeel ne mufti ko phudi di thi famous hony k liye,A
abe bharwe tu samajhta hai teri gali sunu gi khud tatti khata hai to dusro ko bolta hai,A
israel car promote karrahe,NA
sikhon ka lund nach aisy hi chalta rahy ga,A
bohat afsoos hua jaan kr k app sigret pity ho,NA
niklo tumhari aisi taisi mere ghante king iffi bhai u r great,A
looks like a ufo ugly,NA
its never islamic drama its only hindus culture,NA
chokas to teri baji b hai shory,A
legends watching in,NA
karachi mein pakhtunkhwa ke shehriyon se afghan muhajreen jesa salook hota hai,A
abhi aik epsiode aya itna acha lag gaya kia,NA
jaweria abbasi and shamoon abbassi in same drama,NA
as someone who owns a cybertruck car unlocks by detecting your phone it doesnt detect actual person,NA
pakistan actor sab kuchh badal dega drama bus yah nahin badalne shabash,NA
hakumat targets pury nahi kar saki,A
aj episode bhi oddem agy nahi pata,NA
karachi walon ka mazak uraya ja raha hai,A
shehbaz sharif aur hamza shehbaz ki eik aur chori pakri gayi hai,A
episode kab aaega,NA
hakumat ke selectors ko bhi pegham hai ke woh bhi hosh ke nakhun lein aur awam ki baat ko sunein ab is selected hakumat ko chalney nahi diya jaye ga,A
lanti k bachy tu ne mjy dhakka kyun dia,A
nankana sahib mein gurdwarey k ander ghuss ker logon ne maar peet ki,A
me from nepal,NA
mery paas 2 lun hotay to eik tery mou mai aur dosra teri gaand mai de deta,A
police jism faroshi ka dhanda kernay walon ko kuch nahi kehti,A
iam from bangladesh,NA
who here in morning,NA
aisey kanjaron ko bharey bazar mein maar perni chahiye,A
jis din teri shadi hogi us din aasmaan se pani nai lund giren gya,A
i love you too,NA
please sub english me and some others dont know urdu,NA
khud barey mai nahi kehte apne liye ya phir apne barey mai kehte,NA
france ki pakistan aur turkey ko dhamki,A
bharat eik secular mulk nahi hai bharat eik fascist mulk bn chuka hai,A
insaf per mabni faisla kernay walay judge ko qatal ki dhamkiyan mil rahi hein,A
bhai ma newzeland hun koi batye ga ishq murshid session agiya kiya,NA
fahad mustafa as mustafa hania aamir as sharjeena emmad irfani as adeel javed sheikh as iftekhar bushra ansari as shagufta maya khan as sidra naeema butt as rubab tauseeq haider yousuf bashir qureshi,A
anyone from bangladesh,NA
tooba hd ab to koi new script pkr lol pakistanio bs ye rich boy middle class girl yehi reh gaya kia ap logo ky pass falto mai khudi jaky kisi rich boy intension dena hahaha its truly bkwass,NA
to cyber truck k chakr sari episode dekh li,NA
tu bholy ko baji pesh na kr,A
karachi mein safai na honey se wabai amraaz ka sonami aa gaya hai,A
is manhoos musalman ko itna maro k iski bund phat jaye,A
humary pakistani directors producer bhi bagart hen ab us me kam krny wali aurtoon ya actress bhi sharm nh aa rhi dekh raha hu pakistani dramy ab slowly slowly actress dress utrti ja rhi shame on you ary and geo,NA
dont wear so bold dresses,NA
noon legi qeyadat dhokeybaz hai,A
jo taleem larki ke ser se dopatta utarwa dey aisi taleem se jahil rehna behter hai,A
behen tu sirf hans le phans mat warna agla baad mein roye ga bohut,A
im from bangladesh love you pakistan,NA
english subtitle where,NA
a lot of love from pakistan our loyal honest and brave bangladeshi peoples,NA
oye chup bhen k loray,A
um bhi gao bhosrike,A
hindho logon k tairqy karny lag gy shraab to hraam hy islaam mn ye kyu dekhaty ho shraab penaa,NA
isreali yahoodiyon ne falasteeniyon ki nasal kashi shuru ki huwi hai,A
welcome kro g shahtaaj bebe dekho ab edr kya hota iss saat,NA
anyone from srilanka,NA
lkn bhai alto tou chori hoti iss nayy konsi alto jalaye,NA
im waiting next episode please,NA
canada mai dehshatgard ne pakistani khandan k 4 afraad ko truck se rond dala,A
kutti ne apney bachey ki umer ke larkey ko bhai bana liya hai,A
dunya mein kai lory dekhy hein lekin tery jesa sulemani lora kabi nai dekha,A
khuda ke wastey aurat card istemaal karna chor do ab,A
es car nam kiya h,NA
december from bangladesh,NA
nojawan 1 crore nokriyon ka intezar kertay rahey Nokriyan kahan milni theen pehlay waley bhi berozgaar ho gaye,A
anyone from india,NA
ye log muslim batate phir new year kaise celebrate karte didnt understand,NA
translate for arabic,NA
azadi march mein shirkat kernay waley sarey hi dalley hein,A
oye hoye tesla car in pakistani drama,NA
my favorite drama,NA
sir qutub from in parallel universe,NA
itni share kro ye video k un pakistanion ki gand mein var jaye,A
haniya india ma koi drama ya filam nhi mila,NA
bilawal awam ka loota huwa paisa wapis ker dein aur abbu le lein,A
when will desi shows and movies stop glorifying men with psychological problems its not a womans job to heal broken men,NA
hakumat ne 1 saal ke doran awam ke masail per bilkul tawajjuh nahi di aur koi masla hal nahi kiya,A
modi ke nishan e ibrat ban'ney ka waqt dour nahi usey azadaaroun ke khoon ke eik eik qatrey ka hisab dena hoga,A
India mein khwateen k sath rape cases mein izafa hua hai,A
bilawal ko samajhna hoga ke loot maar per saza hoti hai aur zayada loot maar per zayada saza hoti hai,A
oooooohooo limited edition promoting tesla cybertruck first time in pak drama,NA
shikayat darj kranay gai larki k sath police walon ne hi ziyadti kr di,A
very nice my best abbas,NA
pata problem kia jb dono pata hi naw hu ky problem kia so true,NA
not good but very much good,NA
chutiye baap banne ke liye pahle lulli honi chahiye aur tum tum logo ke paas hai nhi,A
shamoon abbasi a long time to see drams,NA
what aa revenge,NA
start see look drama,NA
i love mohaamad,NA
karachi walon ki taraf dekhney walon ki aankhen nikal lein gey,A
ye darma kesi non muslim ny pordus kiya jo itni by haiyai dheka rahe allah maf kary,NA
jab kuch na bn saka to hindoun ko lund bana diya,A
nasty things q dikha rahy pakistani dramas mai,NA
kon kon aaj st episode dekh rha haa,NA
selected wazeer e azam ne mulk ko muashi aur sifarati maidan mein tabah ker diya,A
same old story hongi ek amir bigde shahzade ek simple ladki sudharegi,NA
can you add subtitles in english please,NA
haramkhor hai yeh media,A
noon legue patwariyon aur gullon button se bhari hui eik jahil jamaat hai,A
ager yehi chutiyapa kerna hai to main aaindah nahi aaon ga,A
tiktoker ko to dekhtay hi goli maar deni chahiey,A
kathputli hakumat ne eik crore nokriyon ka elaan ker ke croron logon ko berozgaar ker diya hai,A
bsdk tumhari aurton ko china wale chod rahe hain aur tum yaha apni maa chuda rahe ho,A
ishteaal angez raily ke samney norway ki police khamosh tamashai bani rahi,A
anyone from balochistan province,NA
bhalo theko er hindi hobe,NA
any one bangladeshi hare,NA
please submit english no hindi from bangladesh,NA
tum har waqt sarry huay rehtay ho,A
any bangladeshi people her,NA
bharat ne zakir nayak per apne followers mein dushmani ka taasur ubharney aur mukhtalif mazhabi groupon ke darmiyan nafrat phelaney ka ilzam lgatey huye pabandi laga di thi,A
wow so beautiful car,NA
tumhari bhi bund marnay ka dil kar rha vese mera,A
ghalat fehmi usi waqt door kar deni cahiye wana wo shaqs har waqt kushfahmi me rehta hi,NA
ye chaman chutye saib aur santron pe lar rahy hn,A
love frm bangladesh next lvl drama hote jacce,NA
meee at pm,NA
firsst ep today,NA
Ducky ny tujhy rost kia to teri choti si gand pht jay gi bekar choi,A
rahbar committee ko khud rahbari ki zarurat hai,A
selected wazeer r azam mein kashmir ka masla hal kerney ki himmat nahi,A
yatu ford dddddddtttfff hobby dg ho chi,NA
maqbooza kashmir ka bharat se ilhaaq hi ghalt tha us waqt ke faisley se aaj ki nasal ka koi mustaqbil nahi reh gaya,A
beghhairat nasal ki olaad hai ye khusra bilawal,A
kya ye acha drama,NA
tax wapis na liye gaye to hakumat ke khilaf agley mahiney se ehtijaj ka silsila purey mulk mein shuru kiya jaye ga,A
small and happy family,NA
best drama ever,NA
me from lahan nepal,NA
im from bangladesh,NA
my favourite drama,NA
mu ha kal,NA
haan main wapas teri maa ka mujra dekhne aya tha bharwey,A
such an refreshing episode glad to watch,NA
anyone from bangladesh,NA
serial dekhte pakistan bhut mast place but reality kuch reason army rule,NA
vote ki izzat aur hurmat ki padaash mein nawaz sharif aur maryan nawaz ko jail mein daal diya gaya hai,A
mujhey to laga tha sirf mianwali ke log gadhey hein idher to pura kpk gadhon se bhara hua hai,A
seyasi maqsad hasil kernay ke liye tashaddud kerna dehshatgardi hai,A
love from bangladesh,NA
asal bukhil capital capital allah muhammad in sha allah masha allah subhan allah in sh allh m sh allh subn allh,NA
Imran Khan k bughz mein Sadiq Sanjrani ko nishana banaya gaya,A
aaj iqaamah waley kashmir per siyasat ker rahey hein yeh wohi hein jo 5 saal jasoos kalbhushan jadhav ka naam tak nah le sakey thy,A
fazal baksh to kamyar what a transition,NA
oye madarchod apna kam ker na,A
wow amazing drama,NA
saale pakistani bhadve teri randi maa ko chod dunga,A
aur woh dalley tum jesay hotay hein qatri ke saley,A
bhenchod delete krna parega aaj kal yuhi report maar dete log,A
fazol saray drama maza kharab kr dea ye bigra hua nawab role danish taimoor k ilawa kisi ni banta sari look kharab kr di dramay,NA
pakistani song suntehi samaj jatihu bangladesh logkiuki kysa ek alag vibe hota he usko gana me,NA
ab bhi ban waha,NA
but must be ban on tv,NA
outstanding both of them just magical duo,NA
anyone from bangladesh,NA
sub sa bekar car hsi tesla,A
han same agr koe ajye tu jlde back hjye,NA
Thook lga k chod dia bhai ne tou is ko,A
ek thappar mkc behosh wari hospital me admit isse gatia old script nhi milongy,NA
kashmiri awam ke sath nalaiq naehal aur selected wazeer e azam mazak ker raha hai,A
Sindh Police waly hein hi gashti k bachy,A
sb taajir ehtijaj kr rahy hein,A
koi baat nahi pakistan zinda baad pakistani dramas serial asy hoty say months khatam ho jaty indian dramas jasy nahi aak baar drama py ao kabhi bhi katam nahi hota,A
shehar mein jagah jagah ghalazat ke baes shehri wabai bemariyon ka shiukar hony lagey shadeed gandagi ki wajah se machron aur makhiyon ki yalghar hai,A
eik achi larki ka dost hona eik randi ke dost honay se bohut behter hai,A
ab sharab nooshi wala reh giya bahoot jaldi jaldi pakistani dramy be hiyai promote kar rahy,NA
fast video lao,NA
please batow s drma me kon kon hi,NA
aur jab ye beghairat ka bacha amir liaqat shadi se pehlay dosri biwi se milta tha us waqt isay sharam nahi aati thi ,A
france ke logon aur kutton mein koi farq nahi,A
kon kon ma dahk raha ha,NA
who washing february,NA
kya dance maza agaya,NA
trump eik dehshatgard hai,A
sadar ne election commission ke 2 arkaan ka taqarrur ker ke aaen ki khilaf warzi ki,A
i need a girl friend,NA
khawateen per ghareeli tashaddud ke waqeat mein din badin izafah ho raha hai,A
overacting ziyada krne lagga h aab tesla chalti h vaha k road pr,NA
sala urdu bolo na,A
khanewal mein choti si bachi ko rape ke bad qatal ker diya geya,A
have you ever did umra,NA
tu ye kanjarpan chor de isi mein teri behteri hai,A
kon kon sunday dakh rha,NA
voting is cheez k liay nai ho rahi k sb se bara kon hai balke voting is cheez k liay ho rahi hai k sb se chutya kon hai,A
any one bangladesh her,NA
karachi ki tabahi ke zimmeydaar ab dosron per ilzaam laga rahey hein,A
aj december pr ye comment kr rha hon ap log ramzan me ye comment pr rhy hein plz mere lye dua kren,NA
na ahal hukumat se kuch b thek se nai chal rha,A
very sweet drama,NA
baaz aa ja wrna chudy gi mery hathon,A
tum log acha ho,NA
i think i understand him nowsuch a parents,NA
eng subtitles pleaseee,NA
bahi sare musalman idhar hi kya namaz parho ja,NA
please english subtitle please please please,NA
seyah faam logon ko barabar nahi balkey khasoosi haqooq chahiyen,A
